,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,name
606,Campsicnemus_scambus_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,scambus,,Campsicnemus scambus
607,Campsicnemus_loripes_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,loripes,,Campsicnemus loripes
608,Campsicnemus_picticornis_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,picticornis,,Campsicnemus picticornis
609,Campsicnemus_curvipes_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,curvipes,,Campsicnemus curvipes
610,Syntormon_flexibile_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,flexibile,,Syntormon flexibile
611,Syntormon_pumilum_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,pumilum,,Syntormon pumilum
612,Syntormon_pallipes_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,pallipes,,Syntormon pallipes
613,Syntormon_denticulatum_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,denticulatum,,Syntormon denticulatum
614,Syntormon_zelleri_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,zelleri,,Syntormon zelleri
615,Stolidosoma_sp_Pollet_0314_Dolichopodidae_E,,Dolichopodidae,,,Stolidosoma,,Pollet_0314,Stolidosoma
616,Pseudosympycnus_sp_Pollet_0297,,,Pseudosympycnus,,,,Pollet_0297,Pseudosympycnus
617,Pseudosympycnus_sp_Pollet_0298,,,Pseudosympycnus,,,,Pollet_0298,Pseudosympycnus
618,Syntormon_singaporensis_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,singaporensis,,Syntormon singaporensis
619,Chaetogonopteron_chaeturum_Dolichopodidae_E,,Dolichopodidae,,,Chaetogonopteron,chaeturum,,Chaetogonopteron chaeturum
620,Chaetogonopteron_sp_1_Dolichopodidae_E,,Dolichopodidae,,,Chaetogonopteron,,1,Chaetogonopteron
621,Chaetogonopteron_sp_2_Dolichopodidae_E,,Dolichopodidae,,,Chaetogonopteron,,2,Chaetogonopteron
622,Teuchophorus_tiomanensis_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,tiomanensis,,Teuchophorus tiomanensis
623,Teuchophorus_spinigerellus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,spinigerellus,,Teuchophorus spinigerellus
624,Teuchophorus_monacanthus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,monacanthus,,Teuchophorus monacanthus
625,Teuchophorus_simplex_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,simplex,,Teuchophorus simplex
626,Teuchophorus_enormis_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,enormis,,Teuchophorus enormis
627,Teuchophorus_limosus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,limosus,,Teuchophorus limosus
628,Teuchophorus_simplicissimus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,simplicissimus,,Teuchophorus simplicissimus
629,Teuchophorus_stenostigma_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,stenostigma,,Teuchophorus stenostigma
630,Teuchophorus_ornatulus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,ornatulus,,Teuchophorus ornatulus
631,Teuchophorus_clavigerellus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,clavigerellus,,Teuchophorus clavigerellus
632,Teuchophorus_calcaratus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,calcaratus,,Teuchophorus calcaratus
633,Teuchophorus_nigricosta_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,nigricosta,,Teuchophorus nigricosta
634,Teuchophorus_obliquus_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,obliquus,,Teuchophorus obliquus
635,Teuchophorus_temasek_Dolichopodidae_E,,Dolichopodidae,,,Teuchophorus,temasek,,Teuchophorus temasek
636,Sympycnus_aeneicoxa_Dolichopodidae_E,,Dolichopodidae,,,Sympycnus,aeneicoxa,,Sympycnus aeneicoxa
637,Sympycnus_desoutteri_Dolichopodidae_E,,Dolichopodidae,,,Sympycnus,desoutteri,,Sympycnus desoutteri
638,Sympycnus_cirripes_Dolichopodidae_E,,Dolichopodidae,,,Sympycnus,cirripes,,Sympycnus cirripes
639,Sciapus_platypterus_Dolichopodidae_E,,Dolichopodidae,,,Sciapus,platypterus,,Sciapus platypterus
640,Sciapus_zonatulus_Dolichopodidae_E,,Dolichopodidae,,,Sciapus,zonatulus,,Sciapus zonatulus
641,Sciapus_wiedemanni_Dolichopodidae_E,,Dolichopodidae,,,Sciapus,wiedemanni,,Sciapus wiedemanni
642,Condylostylus_sp_Pollet_0316_Dolichopodidae_E,,Dolichopodidae,,,Condylostylus,,Pollet_0316,Condylostylus
643,Plagiozopelma_flavipodex_Dolichopodidae_E,,Dolichopodidae,,,Plagiozopelma,flavipodex,,Plagiozopelma flavipodex
644,Heteropsilopus_ingenuus_Dolichopodidae_E,,Dolichopodidae,,,Heteropsilopus,ingenuus,,Heteropsilopus ingenuus
645,Amblypsilopus_abruptus_group_s_Dolichopodidae_Ep_SNK_2009,,Dolichopodidae,,,Amblypsilopus,abruptus,group_s_Ep_SNK_2009,Amblypsilopus abruptus
646,Chrysosoma_bearni_Dolichopodidae_E,,Dolichopodidae,,,Chrysosoma,bearni,,Chrysosoma bearni
647,Chrysosoma_vittatum_group_sp_Dolichopodidae_E,,Dolichopodidae,,,Chrysosoma,,vittatum_group,Chrysosoma
648,Thinophilus_sp_1_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Thinophilus,,1_SNK_2009,Thinophilus
649,Nepalomyia_sp_3_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Nepalomyia,,3_SNK_2009,Nepalomyia
650,Symbolia_costaricensis_Dolichopodidae_E,,Dolichopodidae,,,Symbolia,costaricensis,,Symbolia costaricensis
651,Anepsiomyia_flaviventris_Dolichopodidae_E,,Dolichopodidae,,,Anepsiomyia,flaviventris,,Anepsiomyia flaviventris
652,Xanthochlorus_ornatus_Dolichopodidae_E,,Dolichopodidae,,,Xanthochlorus,ornatus,,Xanthochlorus ornatus
653,Liancalus_virens_Dolichopodidae_E,,Dolichopodidae,,,Liancalus,virens,,Liancalus virens
654,Eucoryphus_brunneri_Dolichopodidae_E,,Dolichopodidae,,,Eucoryphus,brunneri,,Eucoryphus brunneri
655,Eucoryphus_coeruleus_Dolichopodidae_E,,Dolichopodidae,,,Eucoryphus,coeruleus,,Eucoryphus coeruleus
656,Hydrophorus_praecox_Dolichopodidae_E,,Dolichopodidae,,,Hydrophorus,praecox,,Hydrophorus praecox
657,Hydrophorus_rogenhoferi_Dolichopodidae_E,,Dolichopodidae,,,Hydrophorus,rogenhoferi,,Hydrophorus rogenhoferi
658,Hydrophorus_borealis_Dolichopodidae_E,,Dolichopodidae,,,Hydrophorus,borealis,,Hydrophorus borealis
659,sphyrotarsus_argyrostomus_Dolichopodidae_E,,Dolichopodidae,,,sphyrotarsus,argyrostomus,,sphyrotarsus argyrostomus
660,Machaerium_maritimae_Dolichopodidae_E,,Dolichopodidae,,,Machaerium,maritimae,,Machaerium maritimae
661,Aphrosylus_celtiber_Dolichopodidae_E,,Dolichopodidae,,,Aphrosylus,celtiber,,Aphrosylus celtiber
662,Argyra_vestita_Dolichopodidae_E,,Dolichopodidae,,,Argyra,vestita,,Argyra vestita
663,Argyra_diaphana_Dolichopodidae_E,,Dolichopodidae,,,Argyra,diaphana,,Argyra diaphana
664,Argyra_elongata_Dolichopodidae_E,,Dolichopodidae,,,Argyra,elongata,,Argyra elongata
665,Argyra_perplexa_Dolichopodidae_E,,Dolichopodidae,,,Argyra,perplexa,,Argyra perplexa
666,Argyra_argyria_Dolichopodidae_E,,Dolichopodidae,,,Argyra,argyria,,Argyra argyria
667,Argyra_leucocephala_Dolichopodidae_E,,Dolichopodidae,,,Argyra,leucocephala,,Argyra leucocephala
668,Argyra_argentina_Dolichopodidae_E,,Dolichopodidae,,,Argyra,argentina,,Argyra argentina
669,Argyra_grata_Dolichopodidae_E,,Dolichopodidae,,,Argyra,grata,,Argyra grata
670,Argyra_ilonae_Dolichopodidae_E,,Dolichopodidae,,,Argyra,ilonae,,Argyra ilonae
671,Argyra_atriceps_Dolichopodidae_E,,Dolichopodidae,,,Argyra,atriceps,,Argyra atriceps
672,Pelastoneurus_sp_Pollet_0309_Dolichopodidae_E,,Dolichopodidae,,,Pelastoneurus,,Pollet_0309,Pelastoneurus
673,Hercostomus_verbekei_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,verbekei,,Hercostomus verbekei
674,Hercostomus_plagiatus_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,plagiatus,,Hercostomus plagiatus
675,Dolichopus_campestris_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,campestris,,Dolichopus campestris
676,Dolichopus_arbustorum_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,arbustorum,,Dolichopus arbustorum
677,Dolichopus_trivialis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,trivialis,,Dolichopus trivialis
678,Dolichopus_cilifemoratus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,cilifemoratus,,Dolichopus cilifemoratus
679,Dolichopus_festivus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,festivus,,Dolichopus festivus
680,Dolichopus_ungulatus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,ungulatus,,Dolichopus ungulatus
681,Dolichopus_brevipennis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,brevipennis,,Dolichopus brevipennis
682,Dolichopus_claviger_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,claviger,,Dolichopus claviger
683,Dolichopus_lepidus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,lepidus,,Dolichopus lepidus
684,Dolichopus_longitarsis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,longitarsis,,Dolichopus longitarsis
685,Dolichopus_nigricornis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,nigricornis,,Dolichopus nigricornis
686,Dolichopus_genicupallidus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,genicupallidus,,Dolichopus genicupallidus
687,Dolichopus_planitarsis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,planitarsis,,Dolichopus planitarsis
688,Dolichopus_atripes_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,atripes,,Dolichopus atripes
689,Dolichopus_tanythrix_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,tanythrix,,Dolichopus tanythrix
690,Dolichopus_bigeniculatus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,bigeniculatus,,Dolichopus bigeniculatus
691,Dolichopus_clavipes_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,clavipes,,Dolichopus clavipes
692,Dolichopus_griseipennis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,griseipennis,,Dolichopus griseipennis
693,Dolichopus_nitidus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,nitidus,,Dolichopus nitidus
694,Dolichopus_popularis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,popularis,,Dolichopus popularis
695,Dolichopus_urbanus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,urbanus,,Dolichopus urbanus
696,Dolichopus_subpennatus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,subpennatus,,Dolichopus subpennatus
697,Dolichopus_pennatus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,pennatus,,Dolichopus pennatus
698,Dolichopus_argyrotarsis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,argyrotarsis,,Dolichopus argyrotarsis
699,Dolichopus_signatus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,signatus,,Dolichopus signatus
700,Dolichopus_latilimbatus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,latilimbatus,,Dolichopus latilimbatus
701,Dolichopus_excisus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,excisus,,Dolichopus excisus
702,Dolichopus_nubilus_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,nubilus,,Dolichopus nubilus
703,Dolichopus_acuticornis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,acuticornis,,Dolichopus acuticornis
704,Dolichopus_linearis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,linearis,,Dolichopus linearis
705,Dolichopus_longicornis_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,longicornis,,Dolichopus longicornis
706,Hercostomus_nanus_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,nanus,,Hercostomus nanus
707,Hercostomus_parvilamellatus_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,parvilamellatus,,Hercostomus parvilamellatus
708,Nodicornis_nodicornis_Dolichopodidae_E,,Dolichopodidae,,,Nodicornis,nodicornis,,Nodicornis nodicornis
709,Sybistroma_discipes_Dolichopodidae_E,,Dolichopodidae,,,Sybistroma,discipes,,Sybistroma discipes
710,Sybistroma_crinipes_Dolichopodidae_E,,Dolichopodidae,,,Sybistroma,crinipes,,Sybistroma crinipes
711,Sybistroma_obscurellum_Dolichopodidae_E,,Dolichopodidae,,,Sybistroma,obscurellum,,Sybistroma obscurellum
712,Hercostomus_chetifer_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,chetifer,,Hercostomus chetifer
713,Hercostomus_longiventris_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,longiventris,,Hercostomus longiventris
714,Hercostomus_fulvicaudis_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,fulvicaudis,,Hercostomus fulvicaudis
715,Hercostomus_praeceps_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,praeceps,,Hercostomus praeceps
716,Argyrochlamys_impudicus_Dolichopodidae_E,,Dolichopodidae,,,Argyrochlamys,impudicus,,Argyrochlamys impudicus
717,Paraclius_digitatus_Dolichopodidae_E,,Dolichopodidae,,,Paraclius,digitatus,,Paraclius digitatus
718,Gymnopternus_helveticus_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,helveticus,,Gymnopternus helveticus
719,Gymnopternus_blankaartensis_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,blankaartensis,,Gymnopternus blankaartensis
720,Gymnopternus_cupreus_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,cupreus,,Gymnopternus cupreus
721,Gymnopternus_assimilis_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,assimilis,,Gymnopternus assimilis
722,Gymnopternus_silvestris_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,silvestris,,Gymnopternus silvestris
723,Gymnopternus_brevicornis_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,brevicornis,,Gymnopternus brevicornis
724,Gymnopternus_celer_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,celer,,Gymnopternus celer
725,Gymnopternus_metallicus_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,metallicus,,Gymnopternus metallicus
726,Gymnopternus_aerosus_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,aerosus,,Gymnopternus aerosus
727,Gymnopternus_angustifrons_Dolichopodidae_E,,Dolichopodidae,,,Gymnopternus,angustifrons,,Gymnopternus angustifrons
728,Hercostomus_nigripennis_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,nigripennis,,Hercostomus nigripennis
729,Hercostomus_chaerophylli_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,chaerophylli,,Hercostomus chaerophylli
730,Hercostomus_germanus_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,germanus,,Hercostomus germanus
731,Dolichopus_sp_Dolichopodidae_E,,Dolichopodidae,,,Dolichopus,,,Dolichopus
732,Dolichopus_sp_Dolichopodidae_E_NCSU_99071924,,Dolichopodidae,,,Dolichopus,,NCSU_99071924,Dolichopus
733,Poecilobothrus_principalis_Dolichopodidae_E,,Dolichopodidae,,,Poecilobothrus,principalis,,Poecilobothrus principalis
734,Poecilobothrus_regalis_Dolichopodidae_E,,Dolichopodidae,,,Poecilobothrus,regalis,,Poecilobothrus regalis
735,Dolichopus_sp_Dolichopodidae_E_NCSU_97010378,,Dolichopodidae,,,Dolichopus,,NCSU_97010378,Dolichopus
736,Poecilobothrus_nobilitatus_Dolichopodidae_E,,Dolichopodidae,,,Poecilobothrus,nobilitatus,,Poecilobothrus nobilitatus
737,Poecilobothrus_chrysozygos_Dolichopodidae_E,,Dolichopodidae,,,Poecilobothrus,chrysozygos,,Poecilobothrus chrysozygos
738,Hercostomus_pilifer_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,pilifer,,Hercostomus pilifer
739,Hercostomus_nigrilamellatus_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,nigrilamellatus,,Hercostomus nigrilamellatus
740,Hercostomus_vockerothi_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,vockerothi,,Hercostomus vockerothi
741,Hercostomus_nigriplantis_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,nigriplantis,,Hercostomus nigriplantis
742,Hercostomus_fugax_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,fugax,,Hercostomus fugax
743,Hercostomus_vivax_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,vivax,,Hercostomus vivax
744,Tachytrechus_notatus_Dolichopodidae_E,,Dolichopodidae,,,Tachytrechus,notatus,,Tachytrechus notatus
745,Tachytrechus_transitorius_Dolichopodidae_E,,Dolichopodidae,,,Tachytrechus,transitorius,,Tachytrechus transitorius
746,Tachytrechus_tessellatus_Dolichopodidae_E,,Dolichopodidae,,,Tachytrechus,tessellatus,,Tachytrechus tessellatus
747,Hercostomus_brevidigitalis_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,brevidigitalis,,Hercostomus brevidigitalis
748,Hercostomus_meieri_Dolichopodidae_E,,Dolichopodidae,,,Hercostomus,meieri,,Hercostomus meieri
749,Nepalomyia_sp_1_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Nepalomyia,,1_SNK_2009,Nepalomyia
750,Nepalomyia_sp_2_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Nepalomyia,,2_SNK_2009,Nepalomyia
751,Scotiomyia_cf_singaporensis_SN_Dolichopodidae_EK_2009,,Dolichopodidae,,,Scotiomyia,singaporensis,SN_EK_2009,Scotiomyia singaporensis
752,Scotiomyia_sp_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Scotiomyia,,SNK_2009,Scotiomyia
753,Acropsilus_sp_2_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Acropsilus,,2_SNK_2009,Acropsilus
754,Acropsilus_sp_3_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Acropsilus,,3_SNK_2009,Acropsilus
755,Acropsilus_niger_Dolichopodidae_E,,Dolichopodidae,,,Acropsilus,niger,,Acropsilus niger
756,Acropsilus_sp_1_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Acropsilus,,1_SNK_2009,Acropsilus
757,Peloropeodes_sp_Pollet_0301_Dolichopodidae_E,,Dolichopodidae,,,Peloropeodes,,Pollet_0301,Peloropeodes
758,Peloropeodes_sp_Pollet_0306_Dolichopodidae_E,,Dolichopodidae,,,Peloropeodes,,Pollet_0306,Peloropeodes
759,Medetera_minima_Dolichopodidae_E,,Dolichopodidae,,,Medetera,minima,,Medetera minima
760,Medetera_dendrobaena_Dolichopodidae_E,,Dolichopodidae,,,Medetera,dendrobaena,,Medetera dendrobaena
761,Medetera_diadema_Dolichopodidae_E,,Dolichopodidae,,,Medetera,diadema,,Medetera diadema
762,Medetera_plumbella_Dolichopodidae_E,,Dolichopodidae,,,Medetera,plumbella,,Medetera plumbella
763,Medetera_micacea_Dolichopodidae_E,,Dolichopodidae,,,Medetera,micacea,,Medetera micacea
764,Medetera_jacula_Dolichopodidae_E,,Dolichopodidae,,,Medetera,jacula,,Medetera jacula
765,Medetera_infumata_Dolichopodidae_E,,Dolichopodidae,,,Medetera,infumata,,Medetera infumata
766,Medetera_grisescens_Dolichopodidae_E,,Dolichopodidae,,,Medetera,grisescens,,Medetera grisescens
767,Medetera_lorea_Dolichopodidae_E,,Dolichopodidae,,,Medetera,lorea,,Medetera lorea
768,Medetera_pallipes_Dolichopodidae_E,,Dolichopodidae,,,Medetera,pallipes,,Medetera pallipes
769,Medetera_impigra_Dolichopodidae_E,,Dolichopodidae,,,Medetera,impigra,,Medetera impigra
770,Medetera_abstrusa_Dolichopodidae_E,,Dolichopodidae,,,Medetera,abstrusa,,Medetera abstrusa
771,Medetera_feminina_Dolichopodidae_E,,Dolichopodidae,,,Medetera,feminina,,Medetera feminina
772,Medetera_jugalis_Dolichopodidae_E,,Dolichopodidae,,,Medetera,jugalis,,Medetera jugalis
773,Medetera_signaticornis_Dolichopodidae_E,,Dolichopodidae,,,Medetera,signaticornis,,Medetera signaticornis
774,Medetera_muralis_Dolichopodidae_E,,Dolichopodidae,,,Medetera,muralis,,Medetera muralis
775,Medetera_belgica_Dolichopodidae_E,,Dolichopodidae,,,Medetera,belgica,,Medetera belgica
776,Medetera_parenti_Dolichopodidae_E,,Dolichopodidae,,,Medetera,parenti,,Medetera parenti
777,Medetera_sp_Pollet_0317_Dolichopodidae_E,,Dolichopodidae,,,Medetera,,Pollet_0317,Medetera
778,Medetera_sp_CG_2012_Dolichopodidae_E,,Dolichopodidae,,,Medetera,,CG_2012,Medetera
779,Dolichophorus_kerteszi_Dolichopodidae_E,,Dolichopodidae,,,Dolichophorus,kerteszi,,Dolichophorus kerteszi
780,Thrypticus_smaragdinus_Dolichopodidae_E,,Dolichopodidae,,,Thrypticus,smaragdinus,,Thrypticus smaragdinus
781,Thrypticus_tarsalis_Dolichopodidae_E,,Dolichopodidae,,,Thrypticus,tarsalis,,Thrypticus tarsalis
782,Medeterinae_sp_1_SNK_2009_Dolichopodidae_E,,Dolichopodidae,Medeterinae,,1_SNK_2009,,,Medeterinae
783,Thinophilus_murphyi_Dolichopodidae_E,,Dolichopodidae,,,Thinophilus,murphyi,,Thinophilus murphyi
784,Thinophilus_sp_6_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Thinophilus,,6_SNK_2009,Thinophilus
785,Thinophilus_sp_8_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Thinophilus,,8_SNK_2009,Thinophilus
786,Thinophilus_sp_2_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Thinophilus,,2_SNK_2009,Thinophilus
787,Thinophilus_sp_4_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Thinophilus,,4_SNK_2009,Thinophilus
788,Micromorphus_albipes_Dolichopodidae_E,,Dolichopodidae,,,Micromorphus,albipes,,Micromorphus albipes
789,Chrysotimus_molliculus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotimus,molliculus,,Chrysotimus molliculus
790,Chrysotimus_flaviventris_Dolichopodidae_E,,Dolichopodidae,,,Chrysotimus,flaviventris,,Chrysotimus flaviventris
791,Chrysotus_sp_Pollet_0305_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,,Pollet_0305,Chrysotus
792,Chrysotus_laesus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,laesus,,Chrysotus laesus
793,Chrysotus_suavis_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,suavis,,Chrysotus suavis
794,Chrysotus_blepharosceles_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,blepharosceles,,Chrysotus blepharosceles
795,Chrysotus_gramineus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,gramineus,,Chrysotus gramineus
796,Chrysotus_neglectus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,neglectus,,Chrysotus neglectus
797,Chrysotus_femoratus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,femoratus,,Chrysotus femoratus
798,Chrysotus_pulchellus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,pulchellus,,Chrysotus pulchellus
799,Chrysotus_cilipes_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,cilipes,,Chrysotus cilipes
800,Chrysotus_miripalpus_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,miripalpus,,Chrysotus miripalpus
801,Chrysotus_sp_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,,SNK_2009,Chrysotus
802,Chrysotus_sp_Pollet_0302_Dolichopodidae_E,,Dolichopodidae,,,Chrysotus,,Pollet_0302,Chrysotus
803,Phacaspis_mitis_Dolichopodidae_E,,Dolichopodidae,,,Phacaspis,mitis,,Phacaspis mitis
804,Diaphorus_oculatus_Dolichopodidae_E,,Dolichopodidae,,,Diaphorus,oculatus,,Diaphorus oculatus
805,Diaphorus_sp_Pollet_0310_Dolichopodidae_E,,Dolichopodidae,,,Diaphorus,,Pollet_0310,Diaphorus
806,Diaphorus_sp_Pollet_0311_Dolichopodidae_E,,Dolichopodidae,,,Diaphorus,,Pollet_0311,Diaphorus
807,Diaphorus_maurus_Dolichopodidae_E,,Dolichopodidae,,,Diaphorus,maurus,,Diaphorus maurus
808,Asyndetus_latifrons_Dolichopodidae_E,,Dolichopodidae,,,Asyndetus,latifrons,,Asyndetus latifrons
809,Diaphorus_nigricans_Dolichopodidae_E,,Dolichopodidae,,,Diaphorus,nigricans,,Diaphorus nigricans
810,Asyndetus_sp_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Asyndetus,,SNK_2009,Asyndetus
811,Condylostylus_flavipes_Dolichopodidae_E,,Dolichopodidae,,,Condylostylus,flavipes,,Condylostylus flavipes
812,Hybos_femoratus_Hybotidae_E,,Hybotidae,,,Hybos,femoratus,,Hybos femoratus
813,Microphor_holosericeus_Empididae_E,,Empididae,,,Microphor,holosericeus,,Microphor holosericeus
814,Eothalassius_gracilis_Dolichopodidae_E,,Dolichopodidae,,,Eothalassius,gracilis,,Eothalassius gracilis
815,Microphorella_malaysiana_Empididae_E,,Empididae,,,Microphorella,malaysiana,,Microphorella malaysiana
816,Parathalassius_candidatus_Empididae_E,,Empididae,,,Parathalassius,candidatus,,Parathalassius candidatus
817,Amphithalassius_latus_Empididae_E,,Empididae,,,Amphithalassius,latus,,Amphithalassius latus
818,Apystomyia_elinguis_Apystomyiidae_Ap,,Apystomyiidae,,,Apystomyia,elinguis,,Apystomyia elinguis
819,Paraplatypeza_sp_Platypezidae_C,,Platypezidae,,,Paraplatypeza,,,Paraplatypeza
820,Pipunculus_sp_Pipunculidae_C,,Pipunculidae,,,Pipunculus,,,Pipunculus
821,Pipunculus_houghi_Pipunculidae_C,,Pipunculidae,,,Pipunculus,houghi,,Pipunculus houghi
822,Pherbellia_cinerella_Sciomyzidae_C,,Sciomyzidae,,,Pherbellia,cinerella,,Pherbellia cinerella
823,Trichophthalma_sp_LRC_2002_Nemestrinidae_N,,Nemestrinidae,,,Trichophthalma,,LRC_2002,Trichophthalma
824,Trichophthalma_sp_SLW_2002_Nemestrinidae_N,,Nemestrinidae,,,Trichophthalma,,SLW_2002,Trichophthalma
825,Neorhynchocephalus_volaticus_Nemestrinidae_N,,Nemestrinidae,,,Neorhynchocephalus,volaticus,,Neorhynchocephalus volaticus
826,Nemestrinus_aegyptiacus_Nemestrinidae_N,,Nemestrinidae,,,Nemestrinus,aegyptiacus,,Nemestrinus aegyptiacus
827,Hirmoneura_sp_SLW_2006c_Nemestrinidae_N,,Nemestrinidae,,,Hirmoneura,,SLW_2006c,Hirmoneura
828,Hirmoneura_sp_MDT_2010_Nemestrinidae_N,,Nemestrinidae,,,Hirmoneura,,MDT_2010,Hirmoneura
