tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers
Anabarhynchus_maritimus_Therevidae_A,,Therevidae,,,Anabarhynchus,maritimus,
Anabarhynchus_helvenacus_Therevidae_A,,Therevidae,,,Anabarhynchus,helvenacus,
Anabarhynchus_hyalipennis_vari_Therevidae_Acinctu,,Therevidae,,,Anabarhynchus,hyalipennis,vari_Acinctu
Anabarhynchus_montanus_Therevidae_A,,Therevidae,,,Anabarhynchus,montanus,
Anabarhynchus_tristis_Therevidae_A,,Therevidae,,,Anabarhynchus,tristis,
Anabarhynchus_occidentalis_Therevidae_A,,Therevidae,,,Anabarhynchus,occidentalis,
Ectinorhynchus_levis_Therevidae_A,,Therevidae,,,Ectinorhynchus,levis,
Efflatouniella_sp_Therevidae_A,,Therevidae,,,Efflatouniella,,
Stenogephyra_sp_2_Therevidae_A,,Therevidae,,,Stenogephyra,,
Stenogephyra_torrida_Therevidae_A,,Therevidae,,,Stenogephyra,torrida,
Parapherocera_wilcoxi_Therevidae_A,,Therevidae,,,Parapherocera,wilcoxi,
Pherocera_albihalteralis_Therevidae_A,,Therevidae,,,Pherocera,albihalteralis,
Pherocera_johnsoni_Therevidae_A,,Therevidae,,,Pherocera,johnsoni,
Schlingeria_ammobata_Therevidae_A,,Therevidae,,,Schlingeria,ammobata,
Pherocera_paractia_Therevidae_A,,Therevidae,,,Pherocera,paractia,
Pherocera_niger_Therevidae_A,,Therevidae,,,Pherocera,niger,
Pherocera_sp_Therevidae_A_NCSU0300012,,Therevidae,,,Pherocera,,NCSU0300012
Pherocera_sp_Therevidae_A,,Therevidae,,,Pherocera,,
Salentia_smkz_Therevidae_A,,Therevidae,,,Salentia,,smkz
Phycus_sp_Therevidae_A_MEI050693,,Therevidae,,,Phycus,,MEI050693
Phycus_sp_Therevidae_A,,Therevidae,,,Phycus,,
Neotabuda_sp_Therevidae_A_MEI089473,,Therevidae,,,Neotabuda,,MEI089473
Ruppellia_ruca_Therevidae_A,,Therevidae,,,Ruppellia,ruca,
Ruppellia_nigriscens_Therevidae_A,,Therevidae,,,Ruppellia,nigriscens,
Ruppellia_thoracica_Therevidae_A,,Therevidae,,,Ruppellia,thoracica,
Ruppellia_multisetosis_Therevidae_A,,Therevidae,,,Ruppellia,multisetosis,
Ruppellia_basalis_Therevidae_A,,Therevidae,,,Ruppellia,basalis,
Ruppellia_rucu_Therevidae_A,,Therevidae,,,Ruppellia,rucu,
Orthactia_penicillata_Therevidae_A,,Therevidae,,,Orthactia,penicillata,
Actorthia_micans_Therevidae_A,,Therevidae,,,Actorthia,micans,
Ataenogera_abdominalis_Therevidae_A,,Therevidae,,,Ataenogera,abdominalis,
Ataenogera_sp_Therevidae_A,,Therevidae,,,Ataenogera,,
Neotabuda_incrassata_Therevidae_A,,Therevidae,,,Neotabuda,incrassata,
Neotabuda_sp_Therevidae_A,,Therevidae,,,Neotabuda,,
Neotabuda_sp_Therevidae_A_nov,,Therevidae,,,Neotabuda,,nov
Phycus_frommeri_Therevidae_A,,Therevidae,,,Phycus,frommeri,
Phycus_lacteipennis_Therevidae_A,,Therevidae,,,Phycus,lacteipennis,
Phycus_niger_Therevidae_A,,Therevidae,,,Phycus,niger,
Caenotus_sp_Scenopinidae_A,,Scenopinidae,,,Caenotus,,
Pseudatrichia_bupennis_Scenopinidae_A,,Scenopinidae,,,Pseudatrichia,bupennis,
Pseudatrichia_longiventris_Scenopinidae_A,,Scenopinidae,,,Pseudatrichia,longiventris,
Stenomphrale_teutenkhameni_Scenopinidae_A,,Scenopinidae,,,Stenomphrale,teutenkhameni,
Belosta_sp_Scenopinidae_A,,Scenopinidae,,,Belosta,,
Neopseudatrichia_inglewoodi_Scenopinidae_A,,Scenopinidae,,,Neopseudatrichia,inglewoodi,
Neopseudatrichia_canei_Scenopinidae_A,,Scenopinidae,,,Neopseudatrichia,canei,
Brevitrichia_sp_Therevidae_A,,Therevidae,,,Brevitrichia,,
Heteromphrale_blanca_Scenopinidae_A,,Scenopinidae,,,Heteromphrale,blanca,
Heteromphrale_cyanops_Scenopinidae_A,,Scenopinidae,,,Heteromphrale,cyanops,
Brevitrichia_arena_Scenopinidae_A,,Scenopinidae,,,Brevitrichia,arena,
Brevitrichia_arnaudi_Therevidae_A,,Therevidae,,,Brevitrichia,arnaudi,
Brevitrichia_forficicruxa_Scenopinidae_A,,Scenopinidae,,,Brevitrichia,forficicruxa,
Irwiniana_graciliparamera_Scenopinidae_A,,Scenopinidae,,,Irwiniana,graciliparamera,
Riekiella_nicholsi_Scenopinidae_A,,Scenopinidae,,,Riekiella,nicholsi,
Riekiella_bolgarti_Scenopinidae_A,,Scenopinidae,,,Riekiella,bolgarti,
Paramonova_sp_A_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Paramonova,,A_SLW_2015
Riekiella_sp_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Riekiella,,SLW_2015
Paramonova_sp_B_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Paramonova,,B_SLW_2015
Paramonova_sp_C_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Paramonova,,C_SLW_2015
Propebrevitrichia_canuta_Scenopinidae_A,,Scenopinidae,,,Propebrevitrichia,canuta,
Propebrevitrichia_pakhuisensis_Scenopinidae_A,,Scenopinidae,,,Propebrevitrichia,pakhuisensis,
Propebrevitrichia_stuckenbergi_Scenopinidae_A,,Scenopinidae,,,Propebrevitrichia,stuckenbergi,
Propebrevitrichia_patersonensi_Scenopinidae_As,,Scenopinidae,,,Propebrevitrichia,patersonensi,s
Propebrevitrichia_falcata_Scenopinidae_A,,Scenopinidae,,,Propebrevitrichia,falcata,
Metatrichia_waterhousei_Scenopinidae_A,,Scenopinidae,,,Metatrichia,waterhousei,
Metatrichia_bulbosa_Scenopinidae_A,,Scenopinidae,,,Metatrichia,bulbosa,
Metatrichia_robusta_Scenopinidae_A,,Scenopinidae,,,Metatrichia,robusta,
Iranotrichia_sp_2_Scenopinidae_A,,Scenopinidae,,,Iranotrichia,,2
Iranotrichia_sp_1_Scenopinidae_A,,Scenopinidae,,,Iranotrichia,,1
Seguyia_sinaiensis_Scenopinidae_A,,Scenopinidae,,,Seguyia,sinaiensis,
Seguyia_chinchona_Scenopinidae_A,,Scenopinidae,,,Seguyia,chinchona,
Prepseudatrichia_sp_Scenopinidae_A,,Scenopinidae,,,Prepseudatrichia,,
Scenopinus_squamosus_Scenopinidae_A,,Scenopinidae,,,Scenopinus,squamosus,
Scenopinus_sp_A_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Scenopinus,,A_SLW_2015
Scenopinus_fenestralis_Scenopinidae_A,,Scenopinidae,,,Scenopinus,fenestralis,
Scenopinus_dilkera_Scenopinidae_A,,Scenopinidae,,,Scenopinus,dilkera,
Scenopinus_schulzi_Scenopinidae_A,,Scenopinidae,,,Scenopinus,schulzi,
Scenopinus_electus_Scenopinidae_A,,Scenopinidae,,,Scenopinus,electus,
Scenopinus_sp_C_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Scenopinus,,C_SLW_2015
Scenopinus_sp_B_SLW_2015_Scenopinidae_A,,Scenopinidae,,,Scenopinus,,B_SLW_2015
Cyrtosathe_sp_Scenopinidae_A,,Scenopinidae,,,Cyrtosathe,,
Jackhallia_sp_Scenopinidae_A,,Scenopinidae,,,Jackhallia,,
Acaenotus_sp_Scenopinidae_A,,Scenopinidae,,,Acaenotus,,
Prorates_sp_Scenopinidae_A_SLW_2015,,Scenopinidae,,,Prorates,,A_SLW_2015
Prorates_boydi_Scenopinidae_A,,Scenopinidae,,,Prorates,boydi,
Prorates_frommeri_Scenopinidae_A,,Scenopinidae,,,Prorates,frommeri,
Prorates_sp_Scenopinidae_A,,Scenopinidae,,,Prorates,,
Alloxytropus_elias_Scenopinidae_A,,Scenopinidae,,,Alloxytropus,elias,
Alloxytropus_anomalus_Scenopinidae_A,,Scenopinidae,,,Alloxytropus,anomalus,
Beameromyia_bifida_Asilidae_A,,Asilidae,,,Beameromyia,bifida,
Euscelidia_pulchra_Asilidae_A,,Asilidae,,,Euscelidia,pulchra,
Lasiocnemus_lugens_Asilidae_A,,Asilidae,,,Lasiocnemus,lugens,
Tipulogaster_glabrata_Asilidae_A,,Asilidae,,,Tipulogaster,glabrata,
Leptogaster_arida_Asilidae_A,,Asilidae,,,Leptogaster,arida,
Leptogaster_sp_SLW2_Asilidae_A,,Asilidae,,,Leptogaster,,SLW2
Leptogaster_cylindrica_Asilidae_A,,Asilidae,,,Leptogaster,cylindrica,
Neoitamus_cyanurus_Asilidae_A,,Asilidae,,,Neoitamus,cyanurus,
Clephydroneura_sp_Kepong_Asilidae_A,,Asilidae,,,Clephydroneura,,Kepong
Dysmachus_trigonus_Asilidae_A,,Asilidae,,,Dysmachus,trigonus,
Machimus_sp_Asilidae_A,,Asilidae,,,Machimus,,
Tolmerus_atricapillus_Asilidae_A,,Asilidae,,,Tolmerus,atricapillus,
Asilus_crabroniformis_Asilidae_A,,Asilidae,,,Asilus,crabroniformis,
Asilus_sericeus_Asilidae_A,,Asilidae,,,Asilus,sericeus,
Machimus_occidentalis_Asilidae_A,,Asilidae,,,Machimus,occidentalis,
Philonicus_albiceps_Asilidae_A,,Asilidae,,,Philonicus,albiceps,
Philodicus_tenuipes_Asilidae_A,,Asilidae,,,Philodicus,tenuipes,
Promachus_amastrus_Asilidae_A,,Asilidae,,,Promachus,amastrus,
Neolophonotus_bimaculatus_Asilidae_A,,Asilidae,,,Neolophonotus,bimaculatus,
Dasophrys_crenulatus_Asilidae_A,,Asilidae,,,Dasophrys,crenulatus,
Pogonioefferia_pogonias_Asilidae_A,,Asilidae,,,Pogonioefferia,pogonias,
Proctacanthus_philadelphicus_Asilidae_A,,Asilidae,,,Proctacanthus,philadelphicus,
Afroestricus_chiastoneurus_Asilidae_A,,Asilidae,,,Afroestricus,chiastoneurus,
Ommatius_tibialis_Asilidae_A,,Asilidae,,,Ommatius,tibialis,
Emphysomera_conopsoides_Asilidae_A,,Asilidae,,,Emphysomera,conopsoides,
Emphysomera_pallidapex_Asilidae_A,,Asilidae,,,Emphysomera,pallidapex,
CerdistusLRC_Asilidae_A,,Asilidae,,,CerdistusLRC,,
Tillobroma_punctipennis_Asilidae_A,,Asilidae,,,Tillobroma,punctipennis,
Microstylum_sp_Karkloof_Asilidae_A,,Asilidae,,,Microstylum,,Karkloof
Connomyia_varipennis_Asilidae_A,,Asilidae,,,Connomyia,varipennis,
Scylaticus_costalis_Asilidae_A,,Asilidae,,,Scylaticus,costalis,
Prolepsis_tristis_Asilidae_A,,Asilidae,,,Prolepsis,tristis,
Lycostommyia_albifacies_Asilidae_A,,Asilidae,,,Lycostommyia,albifacies,
Gonioscelis_ventralis_Asilidae_A,,Asilidae,,,Gonioscelis,ventralis,
Stenopogon_rufibarbis_Asilidae_A,,Asilidae,,,Stenopogon,rufibarbis,
Ospriocerus_aeacus_Asilidae_A,,Asilidae,,,Ospriocerus,aeacus,
Trichoura_pardeos_Asilidae_A,,Asilidae,,,Trichoura,pardeos,
Willistonina_bilineata_Asilidae_A,,Asilidae,,,Willistonina,bilineata,
Nicocles_politus_Asilidae_A,,Asilidae,,,Nicocles,politus,
Leptarthrus_brevirostris_Asilidae_A,,Asilidae,,,Leptarthrus,brevirostris,
Ceraturgus_fasciatus_Asilidae_A,,Asilidae,,,Ceraturgus,fasciatus,
Cyrtopogon_rattus_Asilidae_A,,Asilidae,,,Cyrtopogon,rattus,
Rhipidocephala_sp_Asilidae_A,,Asilidae,,,Rhipidocephala,,
Holcocephala_abdominalis_Asilidae_A,,Asilidae,,,Holcocephala,abdominalis,
Holcocephala_calva_Asilidae_A,,Asilidae,,,Holcocephala,calva,
Molobratia_teutonus_Asilidae_A,,Asilidae,,,Molobratia,teutonus,
Pegesimallus_laticornis_Asilidae_A,,Asilidae,,,Pegesimallus,laticornis,
Diogmites_sp_Asilidae_A,,Asilidae,,,Diogmites,,
Diogmites_grossus_Asilidae_A,,Asilidae,,,Diogmites,grossus,
Lestomyia_fraudiger_Asilidae_A,,Asilidae,,,Lestomyia,fraudiger,
Plesiomma_sp_Guanacaste_Asilidae_A,,Asilidae,,,Plesiomma,,Guanacaste
Saropogon_luteus_Asilidae_A,,Asilidae,,,Saropogon,luteus,
Dasypogon_diadema_Asilidae_A,,Asilidae,,,Dasypogon,diadema,
Rhabdogaster_pedion_Asilidae_A,,Asilidae,,,Rhabdogaster,pedion,
Damalis_annulata_Asilidae_A,,Asilidae,,,Damalis,annulata,
Damalis_monochaetes_Asilidae_A,,Asilidae,,,Damalis,monochaetes,
sporadothrix_gracilis_Asilidae_A,,Asilidae,,,sporadothrix,gracilis,
Dioctria_hyalipennis_Asilidae_A,,Asilidae,,,Dioctria,hyalipennis,
Dioctria_rufipes_Asilidae_A,,Asilidae,,,Dioctria,rufipes,
Dioctria_atricapilla_Asilidae_A,,Asilidae,,,Dioctria,atricapilla,
Eudioctria_albius_Asilidae_A,,Asilidae,,,Eudioctria,albius,
Trichardis_effrena_Asilidae_A,,Asilidae,,,Trichardis,effrena,
Perasis_transvaalensis_Asilidae_A,,Asilidae,,,Perasis,transvaalensis,
Laphystia_tolandi_Asilidae_A,,Asilidae,,,Laphystia,tolandi,
Nusa_infumata_Asilidae_A,,Asilidae,,,Nusa,infumata,
Pilica_formidolosa_Asilidae_A,,Asilidae,,,Pilica,formidolosa,
Lamyra_gulo_Asilidae_A,,Asilidae,,,Lamyra,gulo,
Stiphrolamyra_angularis_Asilidae_A,,Asilidae,,,Stiphrolamyra,angularis,
Laphria_grossa_Asilidae_A,,Asilidae,,,Laphria,grossa,
Laphria_aktis_Asilidae_A,,Asilidae,,,Laphria,aktis,
Choerades_bella_Asilidae_A,,Asilidae,,,Choerades,bella,
Atomosia_puella_Asilidae_A,,Asilidae,,,Atomosia,puella,
Cerotainia_albipilosa_Asilidae_A,,Asilidae,,,Cerotainia,albipilosa,
Hoplistomerus_nobilis_Asilidae_A,,Asilidae,,,Hoplistomerus,nobilis,
Laxenecera_albicincta_Asilidae_A,,Asilidae,,,Laxenecera,albicincta,
Lasiopogon_aldrichii_Asilidae_A,,Asilidae,,,Lasiopogon,aldrichii,
Lasiopogon_cinctus_Asilidae_A,,Asilidae,,,Lasiopogon,cinctus,
Stichopogon_trifasciatus_Asilidae_A,,Asilidae,,,Stichopogon,trifasciatus,
Ablautus_coquilletti_Asilidae_A,,Asilidae,,,Ablautus,coquilletti,
Stichopogon_elegantulus_Asilidae_A,,Asilidae,,,Stichopogon,elegantulus,
Stichopogon_punctum_Asilidae_A,,Asilidae,,,Stichopogon,punctum,
Apiocera_haruspex_Apioceridae_A,,Apioceridae,,,Apiocera,haruspex,
Apiocera_sp_SLW2_Apioceridae_A,,Apioceridae,,,Apiocera,,SLW2
Mitrodetus_dentitarsis_Mydidae_A,,Mydidae,,,Mitrodetus,dentitarsis,
Opomydas_townsendi_Mydidae_A,,Mydidae,,,Opomydas,townsendi,
Nemomydas_brachyrhynchus_Mydidae_A,,Mydidae,,,Nemomydas,brachyrhynchus,
Afroleptomydas_sp_Clanwilliam_Mydidae_A,,Mydidae,,,Afroleptomydas,,Clanwilliam
Mydas_clavatus_SLW_2_Mydidae_A,,Mydidae,,,Mydas,clavatus,SLW_2
Tongamya_miranda_Mydidae_A,,Mydidae,,,Tongamya,miranda,
Atelestus_sp_Atelestidae_E,,Atelestidae,,,Atelestus,,
Meghyperus_sp_Atelestidae_E,,Atelestidae,,,Meghyperus,,
Acarteroptera_recta_Atelestidae_E,,Atelestidae,,,Acarteroptera,recta,
Meghyperus_sudeticus_Atelestidae_E,,Atelestidae,,,Meghyperus,sudeticus,
Empis_bicuspidata_Empididae_E,,Empididae,,,Empis,bicuspidata,
Empis_barbatoides_Empididae_E,,Empididae,,,Empis,barbatoides,
Empis_sp_Empididae_E_SNK_2009,,Empididae,,,Empis,,SNK_2009
Empis_producta_Empididae_E,,Empididae,,,Empis,producta,
Brachystoma_robertsonii_Empididae_E,,Empididae,,,Brachystoma,robertsonii,
Iteaphila_sp_NCSU_04061423_Empididae_E,,Empididae,,,Iteaphila,,NCSU_04061423
Anthepiscopus_sp_JKM_2006_Empididae_E,,Empididae,,,Anthepiscopus,,JKM_2006
Brachystoma_sp_JKM_2006_Empididae_E,,Empididae,,,Brachystoma,,JKM_2006
Hormopeza_sp_JKM_2006_Hybotidae_E,,Hybotidae,,,Hormopeza,,JKM_2006
Metachela_collusor_Empididae_E,,Empididae,,,Metachela,collusor,
Chelipoda_sp_JKM_2006_Empididae_E,,Empididae,,,Chelipoda,,JKM_2006
Trichoclinocera_sp_NCSU_99060_Empididae_E927,,Empididae,,,Trichoclinocera,,NCSU_99060_E927
Roederoides_sp_NCSU_99071975_Empididae_E,,Empididae,,,Roederoides,,NCSU_99071975
Wiedemannia_sp_NCSU_04061434_Empididae_E,,Empididae,,,Wiedemannia,,NCSU_04061434
Wiedemannia_sp_NCSU_99072188_Empididae_E,,Empididae,,,Wiedemannia,,NCSU_99072188
Clinocera_sp_NCSU_04061415_Empididae_E,,Empididae,,,Clinocera,,NCSU_04061415
Clinocera_sp_NCSU_95051149_Empididae_E,,Empididae,,,Clinocera,,NCSU_95051149
Clinocera_caerulea_Empididae_E,,Empididae,,,Clinocera,caerulea,
Deuteragonista_sp_NCSU_980214_Empididae_E26,,Empididae,,,Deuteragonista,,NCSU_980214_E26
Hilara_sp_NCSU_99060352_Empididae_E,,Empididae,,,Hilara,,NCSU_99060352
Hilara_lugubris_Empididae_E,,Empididae,,,Hilara,lugubris,
Hilara_sp_NCSU_99060349_Empididae_E,,Empididae,,,Hilara,,NCSU_99060349
Chelipoda_sp_NCSU_95051120_Empididae_E,,Empididae,,,Chelipoda,,NCSU_95051120
Deuteragonista_sp_JKM_2006_Empididae_E,,Empididae,,,Deuteragonista,,JKM_2006
Gloma_fuscipennis_Empididae_E,,Empididae,,,Gloma,fuscipennis,
Ceratomerus_sp_Empididae_E,,Empididae,,,Ceratomerus,,
Neoplasta_sp_NCSU_99071977_Empididae_E,,Empididae,,,Neoplasta,,NCSU_99071977
Hesperempis_sp_NCSU_99071979_Empididae_E,,Empididae,,,Hesperempis,,NCSU_99071979
Empidadelpha_sobrina_Empididae_E,,Empididae,,,Empidadelpha,sobrina,
Hilarigona_sp_JKM_2006_Empididae_E,,Empididae,,,Hilarigona,,JKM_2006
Hyperperacera_sp_JKM_2006_Empididae_E,,Empididae,,,Hyperperacera,,JKM_2006
Rhamphomyia_sp_NCSU_97010377_Empididae_E,,Empididae,,,Rhamphomyia,,NCSU_97010377
Empis_sp_Empididae_E_NCSU_00071973,,Empididae,,,Empis,,NCSU_00071973
Empis_sp_Empididae_E,,Empididae,,,Empis,,
Empis_sp_Empididae_E_NCSU_99060925,,Empididae,,,Empis,,NCSU_99060925
Proagomyia_sp_NCSU_95051115_Empididae_E,,Empididae,,,Proagomyia,,NCSU_95051115
Rhamphomyia_sp_NCSU_97010438_Empididae_E,,Empididae,,,Rhamphomyia,,NCSU_97010438
Apalocnemis_sp_NCSU_95051121_Empididae_E,,Empididae,,,Apalocnemis,,NCSU_95051121
Hesperempis_sp_JKM_2006_Empididae_E,,Empididae,,,Hesperempis,,JKM_2006
Heterophlebus_sp_Stripe_Empididae_E,,Empididae,,,Heterophlebus,,Stripe
Heterophlebus_sp_Plain_Empididae_E,,Empididae,,,Heterophlebus,,Plain
Heterophlebus_versabilis_Hybotidae_E,,Hybotidae,,,Heterophlebus,versabilis,
Apalocnemis_sp_NCSU_95051123_Empididae_E,,Empididae,,,Apalocnemis,,NCSU_95051123
Heleodromia_sp_JKM_2006_Empididae_E,,Empididae,,,Heleodromia,,JKM_2006
Oreogeton_scopifer_Oreogetonidae_C,,Oreogetonidae,,,Oreogeton,scopifer,
Trichopeza_longicornis_Empididae_E,,Empididae,,,Trichopeza,longicornis,
Gloma_sp_NCSU062219_Empididae_E,,Empididae,,,Gloma,,NCSU062219
Syneches_sp_NCSU_99071971_Hybotidae_E,,Hybotidae,,,Syneches,,NCSU_99071971
Euhybus_sp_JKM_2006_Hybotidae_E,,Hybotidae,,,Euhybus,,JKM_2006
Euhybus_sp_NCSU_99072131_Hybotidae_E,,Hybotidae,,,Euhybus,,NCSU_99072131
Hybos_culiciformis_Hybotidae_E,,Hybotidae,,,Hybos,culiciformis,
Hybos_sp_NCSU_04061420_Hybotidae_E,,Hybotidae,,,Hybos,,NCSU_04061420
Drapetis_sp_JKM_2006_Hybotidae_E,,Hybotidae,,,Drapetis,,JKM_2006
Platypalpus_sp_NCSU_99071984_Hybotidae_E,,Hybotidae,,,Platypalpus,,NCSU_99071984
Hybos_sp_NCSU_99071974_Hybotidae_E,,Hybotidae,,,Hybos,,NCSU_99071974
Crossopalpus_sp_NCSU_99071972_Hybotidae_E,,Hybotidae,,,Crossopalpus,,NCSU_99071972
Bicellaria_sp_NCSU_99061147_Hybotidae_E,,Hybotidae,,,Bicellaria,,NCSU_99061147
Trichina_sp_NCSU_99071986_Hybotidae_E,,Hybotidae,,,Trichina,,NCSU_99071986
Trichinomyia_flavipes_Hybotidae_E,,Hybotidae,,,Trichinomyia,flavipes,
Anthalia_sp_NCSU_99071950_Hybotidae_E,,Hybotidae,,,Anthalia,,NCSU_99071950
Euthyneura_sp_NCSU_99071982_Hybotidae_E,,Hybotidae,,,Euthyneura,,NCSU_99071982
Oedalea_sp_NCSU_99071983_Hybotidae_E,,Hybotidae,,,Oedalea,,NCSU_99071983
Leptopeza_sp_NCSU_99071981_Hybotidae_E,,Hybotidae,,,Leptopeza,,NCSU_99071981
Ocydromia_sp_JKM_2006_Hybotidae_E,,Hybotidae,,,Ocydromia,,JKM_2006
Hoplopeza_sp_NCSU_95051124_Hybotidae_E,,Hybotidae,,,Hoplopeza,,NCSU_95051124
Hoplopeza_sp_JKM_2006_Hybotidae_E,,Hybotidae,,,Hoplopeza,,JKM_2006
Oropezella_sphenoptera_Hybotidae_E,,Hybotidae,,,Oropezella,sphenoptera,
Schistostoma_sp_NCSU_95051178_Empididae_E,,Empididae,,,Schistostoma,,NCSU_95051178
Microphorus_sp_NCSU_99072132_Empididae_E,,Empididae,,,Microphorus,,NCSU_99072132
Tachypeza_nubila_Hybotidae_E,,Hybotidae,,,Tachypeza,nubila,
Chersodromia_nigripennis_Hybotidae_E,,Hybotidae,,,Chersodromia,nigripennis,
Chersodromia_sp_1_Hybotidae_E,,Hybotidae,,,Chersodromia,,1
Drapetis_sp_SNK_2009_Hybotidae_E,,Hybotidae,,,Drapetis,,SNK_2009
Elaphropeza_neesoonensis_Hybotidae_E,,Hybotidae,,,Elaphropeza,neesoonensis,
Nanodromia_narmkroi_Hybotidae_E,,Hybotidae,,,Nanodromia,narmkroi,
Hemerodromia_baetica_Empididae_E,,Empididae,,,Hemerodromia,baetica,
Hemerodromia_sp_SNK_2009_Empididae_E,,Empididae,,,Hemerodromia,,SNK_2009
Oedalea_hybotina_Hybotidae_E,,Hybotidae,,,Oedalea,hybotina,
Paramedetera_obscura_Dolichopodidae_E,,Dolichopodidae,,,Paramedetera,obscura,
Cymatopus_sp_Pollet_0321_Dolichopodidae_E,,Dolichopodidae,,,Cymatopus,,Pollet_0321
Cymatopus_malayensis_Dolichopodidae_E,,Dolichopodidae,,,Cymatopus,malayensis,
Thinolestris_nigra_Dolichopodidae_E,,Dolichopodidae,,,Thinolestris,nigra,
Thambemyia_pagdeni_Dolichopodidae_E,,Dolichopodidae,,,Thambemyia,pagdeni,
Neurigona_cf_angulata_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,,cf_angulata_SNK_2009
Neurigona_sp_2_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,,2_SNK_2009
Neurigona_squamifera_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,squamifera,
Neurigona_sp_1_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,,1_SNK_2009
Neurigona_pectinata_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,pectinata,
Neurigona_pallida_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,pallida,
Neurigona_lineata_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,lineata,
Neurigona_quadrifasciata_Dolichopodidae_E,,Dolichopodidae,,,Neurigona,quadrifasciata,
Ngirhaphium_cf_murphyi_SNK_200_Dolichopodidae_E9,,Dolichopodidae,,,Ngirhaphium,,cf_murphyi_SNK_200
Oncopygius_distans_Dolichopodidae_E,,Dolichopodidae,,,Oncopygius,distans,
Nematoproctus_distendens_Dolichopodidae_E,,Dolichopodidae,,,Nematoproctus,distendens,
Rhaphium_appendiculatum_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,appendiculatum,
Rhaphium_fractum_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,fractum,
Rhaphium_consobrinum_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,consobrinum,
Rhaphium_laticorne_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,laticorne,
Rhaphium_crassipes_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,crassipes,
Rhaphium_penicillatum_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,penicillatum,
Rhaphium_ensicorne_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,ensicorne,
Rhaphium_longicorne_Dolichopodidae_E,,Dolichopodidae,,,Rhaphium,longicorne,
Lamprochromus_bifasciatus_Dolichopodidae_E,,Dolichopodidae,,,Lamprochromus,bifasciatus,
Lamprochromus_strobli_Dolichopodidae_E,,Dolichopodidae,,,Lamprochromus,strobli,
Sympycnus_sp_2_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Sympycnus,,2_SNK_2009
Sympycnus_sp_1_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Sympycnus,,1_SNK_2009
Sympycnus_sp_3_SNK_2009_Dolichopodidae_E,,Dolichopodidae,,,Sympycnus,,3_SNK_2009
Hercostomoides_indonesianus_Dolichopodidae_E,,Dolichopodidae,,,Hercostomoides,indonesianus,
Campsicnemus_alpinus_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,alpinus,
Campsicnemus_pumilio_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,pumilio,
Campsicnemus_scambus_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,scambus,
Campsicnemus_loripes_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,loripes,
Campsicnemus_picticornis_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,picticornis,
Campsicnemus_curvipes_Dolichopodidae_E,,Dolichopodidae,,,Campsicnemus,curvipes,
Syntormon_flexibile_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,flexibile,
Syntormon_pumilum_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,pumilum,
Syntormon_pallipes_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,pallipes,
Syntormon_denticulatum_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,denticulatum,
Syntormon_zelleri_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,zelleri,
Stolidosoma_sp_Pollet_0314_Dolichopodidae_E,,Dolichopodidae,,,Stolidosoma,,Pollet_0314
Pseudosympycnus_sp_Pollet_0297,,,Pseudosympycnus,,,,Pollet_0297
Pseudosympycnus_sp_Pollet_0298,,,Pseudosympycnus,,,,Pollet_0298
Syntormon_singaporensis_Dolichopodidae_E,,Dolichopodidae,,,Syntormon,singaporensis,
Chaetogonopteron_chaeturum_Dolichopodidae_E,,Dolichopodidae,,,Chaetogonopteron,chaeturum,
Chaetogonopteron_sp_1_Dolichopodidae_E,,Dolichopodidae,,,Chaetogonopteron,,1
