family,genus,Habitat,habitat_cat1,habitat_cat2,source,species notes,updated_genus,Open Tree Taxonomy Family,Family matches,Open Tree Taxonomy ID,NCBI ID
Chloropidae,Lioscinella,"vegdecomp, veg, insect eggs",,multi,ferrar,more info page 113,Lioscinella,Chloropidae,TRUE,4415709,
Chloropidae,Lipara,miners,,plant,ferrar,,Lipara,Chloropidae,TRUE,4413820,540870
Chloropidae,Oscinella,"veg, vegdecomp",,multi,ferrar,,Oscinella,Chloropidae,TRUE,1008044,29033
Chloropidae,Pachylophus,veg,veg,plant,ferrar,,Pachylophus,Chloropidae,TRUE,4412853,1990794
Chloropidae,Platycephala,veg,veg,plant,ferrar,,Platycephala,Chloropidae,TRUE,4412705,
Chloropidae,Polydaspis,"endopar, mantis egg, veg, vegdecomp",,multi,ferrar,more info page 114,,,FALSE,,
Chloropidae,Thaumatomyia,veg,veg,plant,ferrar,,Thaumatomyia,Chloropidae,TRUE,970919,333800
Chloropidae,Tricimba,"fungi, vegdecomp, spider eggs",,multi,ferrar,steatodae: eggs. lineella: vegdecomp. cincta and lineella: fungi,Tricimba,Chloropidae,TRUE,4412459,540889
Clusiidae,Clusiodes,wooddecomp,wood,decomp,ferrar,,Clusiodes,Clusiidae,TRUE,133900,500306
Clusiidae,Paraclusia,wooddecomp,wood,decomp,ferrar,,Clusia,Clusiidae,TRUE,923500,574057
Clusiidae,Sobarocephala,wooddecomp,wood,decomp,ferrar,,Sobarocephala,Clusiidae,TRUE,923499,574054
Coccidae,Cryptochaetum,veg,veg,plant,quezadaBioecologicalPopulationStudies1973,,Cryptochetum,Cryptochetidae,FALSE,372190,1262333
Coelopidae,Apetaenus,algae,algae,plant,ferar,,Apetaenus,Canacidae,FALSE,4411612,
Coelopidae,Coelopa,algae,algae,plant,ferar,,Coelopa,Coelopidae,TRUE,181156,169466
Coelopidae,Listriomastax,algae,algae,plant,ferar,,,,FALSE,,
Conopidae,Physocephala,endopar,endo,internal,ferar,,Physocephala,Conopidae,TRUE,253203,198643
Conopidae,Sicus,endopar,endo,internal,ferar,,Sicus,Conopidae,TRUE,181857,1219203
Conopidae,Thecophora,endopar,endo,internal,ferar,,Thecophora,Conopidae,TRUE,77692,305546
Conopidae,Zodion,endopar,endo,internal,ferar,,Zodion,Conopidae,TRUE,252012,768804
Cryptochetidae,Cryptochetum,endopar,endo,internal,ferar,,Cryptochetum,Cryptochetidae,TRUE,372190,1262333
Culcidae,Aedes,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Aedes,Culicidae,FALSE,269669,7158
Culcidae,Anopheles,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Anopheles,Culicidae,FALSE,793190,7164
Culcidae,Chaoborus,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Chaoborus,Chaoboridae,FALSE,800080,41812
Culcidae,Culex,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Culex,Culicidae,FALSE,218720,7174
Culcidae,Culicoides,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Culicoides,Ceratopogonidae,FALSE,722888,41820
Culcidae,Culiseta,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Culiseta,Culicidae,FALSE,844248,174825
Curtonotidae,Curtonotum,locust egg,ecto,animal,ferrar,,Curtonotum,Curtonotidae,TRUE,507315,1262296
Cuterbridae,Cuterebra,endopar,endo,internal,ferrar,,Cuterebra,Oestridae,FALSE,825505,170896
Cuterbridae,Dermatobia,endopar,endo,internal,ferrar,,Dermatobia,Oestridae,FALSE,358237,115426
Cuterebribdae,Hypoderma,endopar,endo,internal,ferrar,,Hypoderma,Oestridae,FALSE,334370,7388
Cuterebridae,Alouattamyia,endopar,endo,internal,ferrar,,,,FALSE,,
Cylindrotomidae,Cylindrotoma,"soil, veg",,multi,imadaMossMimesisPar2021,,Cylindrotoma,Cylindrotomidae,TRUE,802098,700834
Cylindrotomidae,Diogma,moss,moss,plant,imadaMossMimesisPar2021,,Diogma,Cylindrotomidae,TRUE,4497473,
Cylindrotomidae,Liogma,moss,moss,plant,imadaMossMimesisPar2021,,Liogma,Cylindrotomidae,TRUE,561301,560731
Cylindrotomidae,Phalacrocera,lentic,lentic,aquatic,imadaMossMimesisPar2021,,Phalacrocera,Cylindrotomidae,TRUE,4497456,2203737
Cylindrotomidae,Triogma,moss,moss,plant,imadaMossMimesisPar2021,,Triogma,Cylindrotomidae,TRUE,4497451,
Cypselosomatidae,Cypselosoma,dung,dung,decomp,ferrar,,Cypselosoma,Cypselosomatidae,TRUE,4409840,
Cyrtidae,Ogcodes,endopar,endo,internal,easonNotesSpiderParasites1967,,Ogcodes,Acroceridae,FALSE,171537,188257
Cyrtidae,Pterodontia,endopar,endo,internal,easonNotesSpiderParasites1967,,Pterodontia,Acroceridae,FALSE,912251,210267
Deuterophlebiidae,Deuterophlebia,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Deuterophlebia,Deuterophlebiidae,TRUE,510923,560719
Diadocidiidae,Diadocidia,wooddecomp,wood,decomp,lopesfalaschiFamilyDiadocidiidae2016,,Diadocidia,Diadocidiidae,TRUE,40344,560721
Diopsidae,Diasemopsis,vegdecomp,veg_decomp,decomp,wiegmannEpisodicRadiationsFly2011,,Diasemopsis,Diopsidae,TRUE,484713,139652
Diopsidae,Diopsis,"stembore, vegdecomp",,multi,ferrar,"macrophthalma moves to another stem after stem decomp; collaris, curva, ichneumonea, servillei only use one stem and continue feeding on stem after decomp. apicalis and fumipennis on already decomposing tissue and predate other larval decomposing",Diopsis,Diopsidae,TRUE,1061200,139667
Diopsidae,Sphyracephala,vegdecomp,veg_decomp,decomp,wiegmannEpisodicRadiationsFly2011,,Sphyracephala,Diopsidae,TRUE,693434,139674
Ditomyiidae,Centrocnemis,wood primary decomp,wood,decomp,madwarBiologyMorphologyImmature1937,,Australosymmerus,Ditomyiidae,TRUE,4525150,
Ditomyiidae,Ditomyia,fungi,fungi,decomp,keilinStructureLarvaeSystematic1919,,Ditomyia,Ditomyiidae,TRUE,4525128,1520322
Dixidae,Dixa,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Dixa,Dixidae,TRUE,951307,79309
Dixidae,Nothodixa,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Nothodixa,Dixidae,TRUE,4479752,
Dolichopodidae,Dolichopus,aquatic,,aquatic,https://www.researchgate.net/profile/Kristaps-Vilks/publication/275409199_Correspondence_Between_Larval_Development_and_Adult_Residence_Habitats_of_Dolichopodid_Flies_Diptera_Empidoidea_Dolichopodidae_in_a_Heterogeneous_Mosaic_of_Seacoast_Grassland_Habitats/links/553be6420cf29b5ee4b87e5b/Correspondence-Between-Larval-Development-and-Adult-Residence-Habitats-of-Dolichopodid-Flies-Diptera-Empidoidea-Dolichopodidae-in-a-Heterogeneous-Mosaic-of-Seacoast-Grassland-Habitats.pdf,"not all species are aquatic, though each of these genera has some aquatic species",Dolichopus,Dolichopodidae,TRUE,1091455,192427
Dolichopodidae,Medetera,aquatic,,aquatic,https://www.researchgate.net/profile/Kristaps-Vilks/publication/275409199_Correspondence_Between_Larval_Development_and_Adult_Residence_Habitats_of_Dolichopodid_Flies_Diptera_Empidoidea_Dolichopodidae_in_a_Heterogeneous_Mosaic_of_Seacoast_Grassland_Habitats/links/553be6420cf29b5ee4b87e5b/Correspondence-Between-Larval-Development-and-Adult-Residence-Habitats-of-Dolichopodid-Flies-Diptera-Empidoidea-Dolichopodidae-in-a-Heterogeneous-Mosaic-of-Seacoast-Grassland-Habitats.pdf,"not all species are aquatic, though each of these genera has some aquatic species",Medetera,Dolichopodidae,TRUE,915821,377527
Dolichopodidae,Rhaphium,aquatic,,aquatic,https://www.researchgate.net/profile/Kristaps-Vilks/publication/275409199_Correspondence_Between_Larval_Development_and_Adult_Residence_Habitats_of_Dolichopodid_Flies_Diptera_Empidoidea_Dolichopodidae_in_a_Heterogeneous_Mosaic_of_Seacoast_Grassland_Habitats/links/553be6420cf29b5ee4b87e5b/Correspondence-Between-Larval-Development-and-Adult-Residence-Habitats-of-Dolichopodid-Flies-Diptera-Empidoidea-Dolichopodidae-in-a-Heterogeneous-Mosaic-of-Seacoast-Grassland-Habitats.pdf,"not all species are aquatic, though each of these genera has some aquatic species",Rhaphium,Dolichopodidae,TRUE,1096639,377528
Drosophilidae,Cacoxenus,"fungi, nest predacious,",,multi,ferrar,"indagator and apidoxenus live in bee nests commensally, they eat pollen paste and nectar. perspicax and frontalis are predacious on homoptera. guttaus eat fungus on pine.",Cacoxenus,Drosophilidae,TRUE,302197,462273
Drosophilidae,Chymomyza,sap,sap,sap,ferrar,,Chymomyza,Drosophilidae,TRUE,930769,7292
Drosophilidae,Cladochaeta,spittle,,misc,ferrar,,Cladochaeta,Drosophilidae,TRUE,4422345,2035586
Drosophilidae,Drosophila,"flowers, fungi, sap, fruitdecomp, stembore, commensal on crabs, larvaepred and aquatic, eggpred",,multi,ferrar,"Antopocerus miners of decaying leaves, Dichaetophora fungi, Dorsilopha vegdecomp and miner, quinaria tripunctata vegdecomp, brachynephros, immigrans, neokadai, nigromaculata, okadai, tenuicauda, testacea, unispina vegdecomp. waddingtoni miner. slime: robusta, silvarentis, heedi, ezoana, lacertosa, moriwakii, neokadai, okadai, pseudosoridula, sordidula, testacea. Fungi: phalerata, transversa, cardinoides, rubriforns, pruinosa, rubida, bracynephros, funebris, histrio, immigrans, makinoi, multispina, nigromaculata, testacea, unispina. Slime: repleta. flowers: flavopilosa. stembore: dimminuens, sadleria. commensal on crabs: carcinophila, endobranchia. predacious on larvae and aquatic: cogani, gibbinsi, simulivora. Predacious on odanta eggs: libellulosa lives in egg. fungi: confusa, kaindiana. denticeps miners. sexvittata leafdecomp fungi. alboralis confusa slime. collinella and mommai leafdecomp. fenestrarum fruit vegdecomp. Phloridosa: flowers. coracina throckmortoni slime flux. framire lambi fruit. leafdecomp notha. megagenys gall fronds of bracken. sigmoides flower. azteca aphrophora spittle. xiphiphora, dyaramankana, suma, latipaenula, serripaenula flower.",Drosophila,Drosophilidae,TRUE,34907,7215
Drosophilidae,Leucophenga,"fungi, sap, spittle",,multi,ferrar,decaryi and proxima live on spittle from cercopidae nymphs. scutellata and maculata fungi,Leucophenga,Drosophilidae,TRUE,586407,7329
Drosophilidae,Pseudiastata,predacious on coccoidea,carn,animal,ferrar,,Pseudiastata,Drosophilidae,TRUE,4422866,
Drosophilidae,Scaptodrosophila,"vegdecomp, sap, fungi, flowers, stembore",,multi,ferrar,,Scaptodrosophila,Drosophilidae,TRUE,960043,7354
Drosophilidae,Scaptomyza,"vegdecomp, fungi, miner, ",,multi,ferrar,australis miner. cyrtandrae live among leaf hairs. Exalloscaptomyza flowers. okadai leaf decomp. paravittata vegdecomp. pallida vegdecomp fungi. flava miner. consimilis vegdecomp fungi. graminum vegdecomp fungi. tantalia scavengers.,Scaptomyza,Drosophilidae,TRUE,930777,7298
Drosophilidae,Stegana,"wood, sap, fungi",,decomp,ferrar,,Stegana,Drosophilidae,TRUE,451827,188292
Drosophilidae,Zaprionus,"fruit, flowers",,plant,ferrar,badyi ornatus flowers,Zaprionus,Drosophilidae,TRUE,930774,7296
Drosophilidae,Zygothrica,"fungi, flowers, eggpred, fruit",,multi,ferrar,,Zygothrica,Drosophilidae,TRUE,320413,504731
Dryomyzidae,Dryomyza,"fungi, carrion",,multi,ferrar,anilis: fungi carrion. flaveola: dung.,Dryomyza,Dryomyzidae,TRUE,130144,169444
Dryomyzidae,Helcomyza,vegdecomp,veg_decomp,decomp,egglishaw1958FaunaWrackBeds,,Helcomyza,Helcomyzidae,FALSE,923944,169476
Dryomyzidae,Oedoparena,barnaclepred,carn,animal,ferrar,,Oedoparena,Dryomyzidae,TRUE,1053088,1262316
Eginiidae,Eginia,endopar,endo,internal,ferrar,,Eginia,Muscidae,FALSE,4368902,1511678
Empididae,Chelifera,lotic,lotic,aquatic,https://www.sciencedirect.com/science/article/pii/S0075951111000429,,Chelifera,Empididae,TRUE,97123,369889
Empididae,Clinocera,lotic,lotic,aquatic,https://reader.elsevier.com/reader/sd/pii/S0075951111000429?token=7A4D4081E96F3A86439AF6CDFB31A09E5706091AC5D90E5EE1B768C66C7ED3795E07C7F25E7788B1FC4FBB22DC33ABD6&originRegion=us-east-1&originCreation=20220727193621,,Clinocera,Empididae,TRUE,548555,192484
Empididae,Hemerodromia,lotic,lotic,aquatic,https://reader.elsevier.com/reader/sd/pii/S0075951111000429?token=7A4D4081E96F3A86439AF6CDFB31A09E5706091AC5D90E5EE1B768C66C7ED3795E07C7F25E7788B1FC4FBB22DC33ABD6&originRegion=us-east-1&originCreation=20220727193621,,Hemerodromia,Empididae,TRUE,776439,626769
Empididae,Metachela,lotic,lotic,aquatic,https://www.mapress.com/zt/article/view/zootaxa.2069.1.4/28027,,Metachela,Empididae,TRUE,573894,369884
Empididae,Neoplasta,lotic,lotic,aquatic,https://www.mapress.com/zt/article/view/zootaxa.2069.1.4/28027,,Neoplasta,Empididae,TRUE,899306,192640
Empididae,Phyllodromia,wet wood,wood,decomp,https://link.springer.com/content/pdf/10.1023/A:1008851511301.pdf,,Phyllodromia,Empididae,TRUE,4345156,1209097
Empididae,Rhamphomyia,"wooddecomp, leaf litter",,decomp,collinBritishFlies1961,,Rhamphomyia,Empididae,TRUE,224221,192612
Empididae,Wiedemannia,lotic,lotic,aquatic,https://reader.elsevier.com/reader/sd/pii/S0075951111000429?token=7A4D4081E96F3A86439AF6CDFB31A09E5706091AC5D90E5EE1B768C66C7ED3795E07C7F25E7788B1FC4FBB22DC33ABD6&originRegion=us-east-1&originCreation=20220727193621,,Wiedemannia,Empididae,TRUE,820893,240904
endopar,Australofannia,dung,dung,decomp,ferrar,,Australofannia,Fanniidae,FALSE,672491,27472
Ephydridae,Allotrichoma,vegdecomp,veg_decomp,decomp,ferrar,,Allotrichoma,Ephydridae,TRUE,4425132,1492368
Ephydridae,Amalopteryx,"aquatic, decomp, algae on shore",,multi,ferrar,,Amalopteryx,Ephydridae,TRUE,4424257,
Ephydridae,Brachydeutera,"pools, vegdecomp",,multi,ferrar,,Brachydeutera,Ephydridae,TRUE,4424321,1990785
Ephydridae,Dimecoenia,salt marsh mud,soil,decomp,ferrar,,Dimecoenia,Ephydridae,TRUE,4424058,
Ephydridae,Discocerina,moist substrates,,decomp,"Scheiring, Joseph F., and Benjamin A. Foote. ""Habitat distribution of the shore flies of northeastern Ohio (Diptera: Ephydridae)."" (1973).",,Discocerina,Ephydridae,TRUE,543103,745181
Ephydridae,Discomyza,animaldecomp,carrion,decomp,ferrar,,Discomyza,Ephydridae,TRUE,4424385,1720780
Ephydridae,Ephydra,"aquatic algal mats, hot springs",,multi,ferrar,"brusei goedeni packardi hot springs, thermophila, tibetensis. still water: cinerea, hians, millbrae, packardi",Ephydra,Ephydridae,TRUE,936922,504564
Ephydridae,Hecamede,"molluscdecomp, moist seaweed, carrion, damp sand",,decomp,ferrar,"albicans: molluscdecomp, seaweed, carrion. persimilis: momist seaweed, damp sand",Hecamede,Ephydridae,TRUE,4424732,
Ephydridae,Hydrellia,"aquatic miners, terrestrial miners",miner,plant,ferrar,,Hydrellia,Ephydridae,TRUE,73660,92591
Ephydridae,Leptopsilopa,grass,,plant,ferrar,,Leptopsilopa,Ephydridae,TRUE,4424299,1887046
Ephydridae,Nostima,algae at edge of marsh,algae,plant,ferrar,,Nostima,Ephydridae,TRUE,4423925,1473719
Ephydridae,Notiphila,"mud on edge of freshwater, wet decaying plants",,decomp,ferrar,cuaudata: plants,Notiphila,Ephydridae,TRUE,1075980,1118049
Ephydridae,Ochthera,aquaticlarvaepred,,aquatic,ferrar,,Ochthera,Ephydridae,TRUE,4424952,1744809
Ephydridae,Paracoenia,"hot spring algal mats, shoreline mud of lakes",,multi,ferrar,,Paracoenia,Ephydridae,TRUE,4424266,1690382
Ephydridae,Pelina,algae on moist soil,algae,plant,ferrar,,Pelina,Ephydridae,TRUE,42876,1086796
Ephydridae,Placopsidella,carrion,carrion,decomp,brownManualCentralAmerican2009,,Placopsidella,Ephydridae,TRUE,4424035,
Ephydridae,Scatella,"mud, pools, dung, hot springs",,multi,ferrar,"vittithorax: hot springs. fusca: pools, dung. iowana: mud. unicornis: wet stone and flowerpots",Scatella,Ephydridae,TRUE,130266,305595
Ephydridae,Scatophila,wet places,,decomp,ferrar,,Scatophila,Ephydridae,TRUE,4424412,1763968
Fannidae,Fannia,"vegdecomp, seaweed decomp, dung, wooddecomp, fungi, hymenoptera nests, bird nests, mammals nests, molluscdecomp, insectdecomp, vertebrate carrion",,multi,ferrar,"extensive info. page 151-152 of ferrar pdf, 178-179 of book",Fannia,Fanniidae,FALSE,557410,95468
Fanniidae,Euryomma,"vegdecomp, hymenoptera nests, vertebrate carrion",,multi,ferrar,"pregrinum vertebrate carrion vegdecomp, panamensis rettenmeyeri hymenoptera nests,",Euryomma,Fanniidae,TRUE,4369311,1650677
Fergusoninidae,Fergusonina,galls,gall,plant,ferrar,,Fergusonina,Fergusoninidae,TRUE,201385,156411
Gasterophilidae,Cobboldia,endopar,endo,internal,ferrar,,Cobboldia,Oestridae,FALSE,4374092,2583773
Gasterophilidae,Gasterophilus,endopar,endo,internal,ferrar,,Gasterophilus,Oestridae,FALSE,88110,84524
Gasterophilidae,Gyrostigma,endopar,endo,internal,ferrar,,Gyrostigma,Oestridae,FALSE,4374100,2555504
Gasterophilidae,Neocuterebra,endopar,endo,internal,ferrar,,Neocuterebra,Oestridae,FALSE,4374074,
Gasterophilidae,Ruttenia,endopar,endo,internal,ferrar,,Ruttenia,Oestridae,FALSE,4374030,
Glossinidae,Glossina,macrolarviparous,vivip,internal,ferrar,,Glossina,Glossinidae,TRUE,753708,7393
Helcomyzidae,Helcomyza,vegdecomp,veg_decomp,decomp,ferrar,,Helcomyza,Helcomyzidae,TRUE,923944,169476
Helcomyzidae,Heterocheila,vegdecomp,veg_decomp,decomp,ferrar,,Heterocheila,Heterocheilidae,FALSE,26530,169481
Helcomyzidae,Scoliocentra,vegdecomp,veg_decomp,decomp,ferrar,,Scoliocentra,Heleomyzidae,FALSE,4400721,1823605
Helcomyzidae,Tapeigaster,vegdecomp,veg_decomp,decomp,ferrar,,Tapeigaster,Heleomyzidae,FALSE,4400292,1572573
Heleidae,Athrichopogon,lotic,lotic,aquatic,staglianoCumulativeBiologicalAssessment2010,,Atrichopogon,Ceratopogonidae,FALSE,705680,209702
Heleomyzidae,Neossos,nest,nest,nest,ferrar,,Neossos,Heleomyzidae,TRUE,4400887,2268121
Heleomyzidae,Suilia,fungi,fungi,decomp,ferrar,,,,FALSE,,
Helosciomyzidae,Helosciomyza,nests,nest,nest,ferrar,,Helosciomyza,Helosciomyzidae,TRUE,4396660,
Helosciomyzidae,Polytocus,carrion,carrion,decomp,ferrar,,Polytocus,Helosciomyzidae,TRUE,4396640,
Hippoboscidae,Crataerina,macrolarviparous,vivip,internal,ferrar,,Crataerina,Hippoboscidae,TRUE,289868,452743
Hippoboscidae,Icosta,macrolarviparous,vivip,internal,ferrar,,Icosta,Hippoboscidae,TRUE,637691,402409
Hippoboscidae,Lipoptena,macrolarviparous,vivip,internal,ferrar,,Lipoptena,Hippoboscidae,TRUE,522399,170902
Hippoboscidae,Melophagus,macrolarviparous,vivip,internal,ferrar,,Melophagus,Hippoboscidae,TRUE,289881,452748
Hippoboscidae,Olfersia,macrolarviparous,vivip,internal,ferrar,,Olfersia,Hippoboscidae,TRUE,4391305,1333310
Hippoboscidae,Ornithophila,macrolarviparous,vivip,internal,ferrar,,Ornithophila,Hippoboscidae,TRUE,4391139,1497392
Keroplatidae,Macrocera,"build webs, wooddecomp, cave walls, fungi, soil, grass, wood",,multi,jakovlevFungusGnatsDiptera2011,"three species described, insignificant variation imo",Macrocera,Keroplatidae,TRUE,206343,608727
Keroplatidae,Neoceroplatus,"river buffer zone, web, wood, wooddecomp, fungi, move while covered in their mucus",,multi,falaschiNeoceroplatusBetaryiensisNov2019,confirmed for betaryiensis,Neoceroplatus,Keroplatidae,TRUE,4481073,
Keroplatidae,Zelmira,build webs on stream banks and damp crevices,,misc,vivianiTwoBioluminescentDiptera2001,"this genus was broken up, mainly placed in Orfelia (http://pbs.bishopmuseum.org/pdf/BE13-kero-catr.pdf)",Orfelia,Keroplatidae,TRUE,161123,270890
Lauxaniidae,Aulogastromyia,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Aulogastromyia,Lauxaniidae,TRUE,4418546,1824990
Lauxaniidae,Homoneura,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Homoneura,Lauxaniidae,TRUE,4417150,1692452
Lauxaniidae,Meiosimyza,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Meiosimyza,Lauxaniidae,TRUE,7837725,1824999
Lauxaniidae,Tricholauxania,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Tricholauxania,Lauxaniidae,TRUE,468406,192459
Limoniidae,Dactylolabis,mud,soil,decomp,jeffrodsMatingDifferencesMadicolous2002,,Dactylolabis,Limoniidae,TRUE,883191,560717
Limoniidae,Elephantomyia,"wooddecomp, sap, fungi",,multi,podenasNewSpeciesElephantomyia2020,,Elephantomyia,Limoniidae,TRUE,802101,700838
Limoniidae,Gnophomyia,"wood, wooddecomp",wood,decomp,hancockLarvalHabitatPreferences2008,,Gnophomyia,Limoniidae,TRUE,278542,700845
Limoniidae,Helius,"lentic, veg",,multi,przhiboroNewRecordsCraneflies2003,,Helius,Limoniidae,TRUE,328555,700865
Limoniidae,Lipsothrix,"wooddecomp, lotic",,multi,dudleyBiologyLifeCycles1987,,Lipsothrix,Limoniidae,TRUE,278553,700849
Limoniidae,Metalimnobia,fungi,fungi,decomp,krivosheinaNewDataMorphology2010,,Metalimnobia,Limoniidae,TRUE,853155,700851
Limoniidae,Rhypholophus,"moss, roots, lotic",,multi,bulankovaMicrohabitatDistributionDiptera2007,,Rhypholophus,Limoniidae,TRUE,4504840,
Lonchaeidae,Dasiops,"fruitbore, miner",,plant,ferar,latifrons is only miner,Dasiops,Lonchaeidae,TRUE,281227,286456
Lonchaeidae,Earomyia,cones. bore though cone scales to tunnel through seeds. one larvae usually goes through two-three seeds,,plant,ferrar,,Earomyia,Lonchaeidae,TRUE,4406392,
Lonchaeidae,Lamprolonchaea,"veg, wooddecomp, veegdecomp, insectdecomp",,multi,ferrar,"conchapinna: rotting bark. brouniana: vegdecomp, veg, insectdecomp",Lamprolonchaea,Lonchaeidae,TRUE,24839,907706
Lonchaeidae,Lonchaea,"wood, veg, vegdecomp, dung, fungi",,decomp,ferrar,"wood: corticis, scutellaris, zetterstedti, polita. friut: polita. flavidipennis: infested veg, fruit. cristula: veg. striatifrons: vegdecomp. chorea: dung, vegdecomp, slime mould. fumosa: fungi. tarsata: bark, veg. avida: veg. continentalis: vegdecomp. drypetes: veg",Lonchaea,Lonchaeidae,TRUE,407477,198649
Lonchaeidae,Silba,veg secondary invaders,veg,plant,ferrar,,Silba,Lonchaeidae,TRUE,253197,198646
Lonchopteridae,Lonchoptera,"veg, vegdecomp, wooddecomp, decaying leaf litter",,multi,ferrar,,Lonchoptera,Lonchopteridae,TRUE,73597,92595
Mesembrinellidae,Albuquerquea,macrolarviparous (first instar),vivip,internal,ferrar,,Albuquerquea,Calliphoridae,FALSE,4390371,
Mesembrinellidae,Eumesembrinella,macrolarviparous (first instar),vivip,internal,ferrar,,Eumesembrinella,Calliphoridae,FALSE,288971,672472
Mesembrinellidae,Huascaromusca,macrolarviparous (first instar),vivip,internal,ferrar,,Huascaromusca,Calliphoridae,FALSE,4390048,1609532
Mesembrinellidae,Laneella,"macrolarviparous (first instar), later instars carrion",,multi,ferrar,,Laneella,Calliphoridae,FALSE,4389951,1658054
Mesembrinellidae,Mesembrinella,macrolarviparous (first instar),vivip,internal,ferrar,,Mesembrinella,Calliphoridae,FALSE,786283,460529
Mesembrinellidae,Souzalopesiella,macrolarviparous (first instar),vivip,internal,ferrar,,Souzalopesiella,Calliphoridae,FALSE,4522444,
Micropezidae,Calobata,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Calobata,Micropezidae,TRUE,4410400,1820059
Micropezidae,Calobatina,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Calobatina,Micropezidae,TRUE,4410669,
Micropezidae,Calycopteryx,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Calycopteryx,Micropezidae,TRUE,4410376,
Micropezidae,Compsobata,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Compsobata,Micropezidae,TRUE,281223,286452
Micropezidae,Micropeza,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Micropeza,Micropezidae,TRUE,4410232,1572561
Micropezidae,Mimegralla,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Mimegralla,Micropezidae,TRUE,973637,115300
Milichiidae,Desmometopa,"carrion, vegdecomp, dung",,decomp,ferrar,inaurata and singaporensis are carrion,Desmometopa,Milichiidae,TRUE,1074090,305587
Milichiidae,Leptometopa,dung,dung,decomp,ferrar,,Leptometopa,Milichiidae,TRUE,4411143,1720790
Milichiidae,Milichiella,"carrion, vegdecomp, dung, wooddecomp, nests, dry debris",,multi,ferrar,info on page 224 ferrar,Milichiella,Milichiidae,TRUE,4411036,1890919
Milichiidae,Pholeomyia,"dung, nests",,multi,ferrar,"comans nests, dampfi dung",Pholeomyia,Milichiidae,TRUE,4411164,1720804
Mormotomyiidae,Mormotomyia,dung,dung,decomp,ferrar,,Mormotomyia,Mormotomyiidae,TRUE,54704,1155704
Muscidae,Atherigona,"decomp, veg",,multi,ferrar,,Atherigona,Muscidae,TRUE,755025,305597
Muscidae,Dendrophaonia,"bird nest, decomp, wood, fungi",,multi,https://www.natur-in-nrw.de/IMG/Sonstiges/pdf/Drees-2008-Muscidae.pdf,aka potamia and phaonia,,,FALSE,,
Muscidae,Graphomya,"vegdecomp, garbage, sap, wooddecomp, humus soil, aquatic/subaquatic",,multi,ferrar,,Graphomya,Muscidae,TRUE,523569,1072499
Muscidae,Haematobosca,dung,dung,decomp,ferrar,,Haematobosca,Muscidae,TRUE,788053,559680
Muscidae,Hebecnema,"dung, vegdecomp",,decomp,ferrar,,Hebecnema,Muscidae,TRUE,788056,559682
Muscidae,Limnophora,"dung, vegdecomp, carrion, moss, aquatic/subaquatic",,multi,ferrar,,Limnophora,Muscidae,TRUE,364542,307207
Muscidae,Lispoides,aquatic/subaquatic,,aquatic,ferrar,,Lispoides,Muscidae,TRUE,4368291,
Muscidae,Mesembrina,dung,dung,decomp,ferrar,,Mesembrina,Muscidae,TRUE,412689,116147
Muscidae,Morellia,dung,dung,decomp,ferrar,,Morellia,Muscidae,TRUE,377283,253340
Muscidae,Musca,"dung, vegdecomp, garbage, carrion",,decomp,ferrar,,Musca,Muscidae,TRUE,484748,7369
Muscidae,Muscina,"dung, vegdecomp, fungi, garbage, carrion, endopar, birds nests, hymenoptera nests,",,multi,ferrar,,Muscina,Muscidae,TRUE,573702,57892
Muscidae,Mydaea,"dung, fungi, sap, wooddecomp",,decomp,ferrar,,Mydaea,Muscidae,TRUE,788057,559689
Muscidae,Myospila,"dung, vegdecomp",,decomp,ferrar,,Myospila,Muscidae,TRUE,28906,520040
Muscidae,Neomyia,dung,dung,decomp,ferrar,,Neomyia,Muscidae,TRUE,1011255,305607
Muscidae,Passeromyia,birds nests,nest,nest,ferrar,,Passeromyia,Muscidae,TRUE,4368178,1511687
Muscidae,Phaonia,"vegdecomp, sap, wooddecomp, flowers, humus soil, moss",,multi,ferrar,,Phaonia,Muscidae,TRUE,268220,253431
Muscidae,Phaonina,veg,veg,plant,ferrar,,Phaonina,Muscidae,TRUE,4368243,
